"","x_name","essential","degree","eigenvector_centrality","betweenness_centrality","closeness_centrality","predicted_lethality","acc"
"1737","YJL151C","0",14,0.000961729231087475,0.000655992821467901,0.292816588496667,"0",TRUE
"1739","YPR173C","0",27,2.20241203019497e-05,0.000457479098670076,0.274608760070377,"0",TRUE
"1740","YLR240W","1",100,0.000155532587948145,0.00341071514952941,0.332903008531657,"0",FALSE
"1741","YDR527W","1",14,0.000432538826892762,8.17178198713541e-05,0.295486249501794,"0",FALSE
"1745","YLR119W","0",16,1.90514486472839e-05,7.03181921745234e-06,0.260703296703297,"0",TRUE
"1747","YBR289W","0",50,0.000177307687403566,0.000796063068402579,0.320144661556731,"0",TRUE
"1748","YJR102C","0",25,2.20609310119625e-05,6.93589186196972e-05,0.270698311273391,"0",TRUE
"1749","YJR110W","0",14,4.45013993220851e-06,9.20756197253897e-05,0.2753737580091,"0",TRUE
"1750","YDR334W","0",89,0.000458647518663858,0.000750075886322851,0.326399207528479,"0",TRUE
"1751","YMR102C","0",8,8.29224876675113e-06,5.92737062843154e-05,0.255030959752322,"0",TRUE
"1755","YDR485C","0",47,0.00029352994136365,0.000191625551587399,0.313295652633247,"0",TRUE
"1756","YDR219C","0",7,8.80040807713227e-06,4.30644171360059e-05,0.272176586664219,"0",TRUE
"1758","YPL139C","0",23,4.68035177205094e-05,4.33570984485054e-06,0.281543719737966,"0",TRUE
"1759","YAL014C","0",15,8.216265045241e-06,1.01699840981659e-05,0.274088451407181,"0",TRUE
"1760","YGR216C","1",20,8.2226654758307e-06,6.1102407288239e-05,0.271379547014413,"0",FALSE
"1761","YLR360W","0",13,7.23092362672048e-06,6.44319827340401e-05,0.276593760201464,"0",TRUE
"1762","YJR044C","0",4,1.7742569611097e-06,6.45754319856284e-05,0.262097308763092,"0",TRUE
"1763","YKL041W","0",25,2.49162644389752e-05,8.90628281916708e-05,0.275322625568657,"0",TRUE
"1764","YJR143C","0",30,1.38940981008259e-05,0.000460739832292366,0.281998858881704,"0",TRUE
"1765","YDL234C","0",28,1.82466200553997e-05,0.000521732333561205,0.297114517583408,"0",TRUE
"1766","YJL036W","0",49,1.35942493828556e-05,0.000277829765976672,0.294298615590731,"0",TRUE
"1767","YOR122C","1",41,3.63373196860993e-05,0.000107502871011608,0.305155381765795,"0",FALSE
"1769","YER068W","0",46,0.00229984842730652,0.0010349660678815,0.322266898500326,"0",TRUE
"1771","YOL112W","0",16,1.15526260340104e-05,2.78586824550533e-05,0.285817550961399,"0",TRUE
"1772","YNL021W","0",78,0.000240587404947669,0.00118842254374764,0.325753830944142,"0",TRUE
"1775","YGR089W","0",2,7.13290251458989e-09,0,0.202064595257563,"0",TRUE
"1778","YDR440W","0",43,0.000240767756480793,0.000344511737372934,0.30624257758042,"0",TRUE
